x,z_upper,z_lower,delta
1.474916387959866126e+00,5.275312858104834746e-01,-2.835173588347316143e-01,3.567075020897299970e-02
1.498327759197324305e+00,5.281946486614667036e-01,-2.852603323798375556e-01,3.615551959231948220e-02
1.521739130434782483e+00,5.288580115124499326e-01,-2.868393412215149985e-01,3.663920806084957488e-02
1.545150501672240662e+00,5.293102524842191459e-01,-2.883310313307932415e-01,3.712183460029750554e-02
1.568561872909698840e+00,5.297293588413093390e-01,-2.898227214400714846e-01,3.760341758057420686e-02
1.591973244147157018e+00,5.301484651983995322e-01,-2.913144115493496722e-01,3.808397478462798025e-02
1.615384615384615197e+00,5.305675715554897254e-01,-2.928061016586279153e-01,3.856352343554839829e-02
1.638795986622073375e+00,5.309405083985819784e-01,-2.940813294111480070e-01,3.904208022204429251e-02
1.662207357859531554e+00,5.311337696546697407e-01,-2.953418506633165297e-01,3.951966132241502283e-02
1.685618729096989732e+00,5.313270309107575029e-01,-2.966023719154850524e-01,3.999628242712434389e-02
1.709030100334448132e+00,5.315202921668452651e-01,-2.978628931676535196e-01,4.047195876007637222e-02
1.732441471571906311e+00,5.317135534229329163e-01,-2.990796853908540553e-01,4.094670509868514330e-02
1.755852842809364489e+00,5.318014909908922450e-01,-3.001269005496985387e-01,4.142053579282148346e-02
1.779264214046822667e+00,5.317823110169770384e-01,-3.011741157085429665e-01,4.189346478271413488e-02
1.802675585284280846e+00,5.317631310430618319e-01,-3.022213308673874499e-01,4.236550561587584113e-02
1.826086956521739024e+00,5.317439510691465143e-01,-3.032685460262319332e-01,4.283667146311950780e-02
1.849498327759197203e+00,5.317247710952313078e-01,-3.042246672584256184e-01,4.330697513372432084e-02
1.872909698996655381e+00,5.315580384794519331e-01,-3.050705258184765456e-01,4.377642908980711872e-02
1.896321070234113559e+00,5.313424479531156930e-01,-3.059163843785274728e-01,4.424504545995019272e-02
1.919732441471571738e+00,5.311268574267793419e-01,-3.067622429385784000e-01,4.471283605213249857e-02
1.943143812709029916e+00,5.309112669004431018e-01,-3.076081014986293272e-01,4.517981236600811246e-02
1.966555183946488095e+00,5.306956763741067507e-01,-3.083288372500317398e-01,4.564598560457226728e-02
1.989966555183946273e+00,5.302998278925138420e-01,-3.089899775262345272e-01,4.611136668525234877e-02
2.013377926421404673e+00,5.298999827439091481e-01,-3.096511178024372590e-01,4.657596625045891392e-02
2.036789297658862630e+00,5.295001375953045653e-01,-3.103122580786400464e-01,4.703979467762858108e-02
2.060200668896321030e+00,5.291002924466999824e-01,-3.109733983548428338e-01,4.750286208878918420e-02
2.083612040133778986e+00,5.286693699706657146e-01,-3.114810038145527371e-01,4.796517835967486348e-02
2.107023411371237387e+00,5.280982545829362440e-01,-3.119678928985202826e-01,4.842675312841721036e-02
2.130434782608695343e+00,5.275271391952068845e-01,-3.124547819824877726e-01,4.888759580383651715e-02
2.153846153846153744e+00,5.269560238074774139e-01,-3.129416710664552626e-01,4.934771557335596720e-02
2.177257525083611700e+00,5.263849084197479433e-01,-3.134179281443194021e-01,4.980712141055953363e-02
2.200668896321070100e+00,5.257544103373457123e-01,-3.137407936845763023e-01,5.026582208241355681e-02
2.224080267558528057e+00,5.250204071701085606e-01,-3.140636592248331471e-01,5.072382615617013896e-02
2.247491638795986457e+00,5.242864040028714090e-01,-3.143865247650899919e-01,5.118114200596980690e-02
2.270903010033444858e+00,5.235524008356343684e-01,-3.147093903053468367e-01,5.163777781915928483e-02
2.294314381270902814e+00,5.228183976683972167e-01,-3.149971567231583114e-01,5.209374160233975343e-02
2.317725752508361214e+00,5.220046536221644162e-01,-3.151674107479345843e-01,5.254904118715953559e-02
2.341137123745819171e+00,5.211200348359620316e-01,-3.153376647727109128e-01,5.300368423586441363e-02
2.364548494983277571e+00,5.202354160497595359e-01,-3.155079187974871857e-01,5.345767824661839390e-02
2.387959866220735528e+00,5.193507972635571512e-01,-3.156781728222634587e-01,5.391103055860611837e-02
2.411371237458193928e+00,5.184661784773547666e-01,-3.157943406752491411e-01,5.436374835692832364e-02
2.434782608695651884e+00,5.174846493786909862e-01,-3.158216668856873022e-01,5.481583867730042275e-02
2.458193979933110285e+00,5.164572542303477176e-01,-3.158489930961254077e-01,5.526730841056411159e-02
2.481605351170568241e+00,5.154298590820045600e-01,-3.158763193065635133e-01,5.571816430702098560e-02
